,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate_init,param_momentum,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
33,1.7351699113845824,0.22013341411541396,0.0007806539535522461,0.00012886854144591428,0.3,0.3,sgd,"{'learning_rate_init': 0.3, 'momentum': 0.3, 'solver': 'sgd'}",0.95,0.95,0.8,0.95,0.95,1.0,1.0,0.95,0.9,1.0,0.945,0.05678908345800272,83
34,1.6537500143051147,0.13783828608878076,0.0007540225982666015,2.7762653465365928e-05,0.3,0.4,sgd,"{'learning_rate_init': 0.3, 'momentum': 0.4, 'solver': 'sgd'}",0.95,1.0,0.8,0.95,0.95,1.0,1.0,1.0,0.95,1.0,0.96,0.058309518948452994,40
35,1.378552222251892,0.09284628986122163,0.0007302761077880859,7.250434039592061e-06,0.3,0.5,sgd,"{'learning_rate_init': 0.3, 'momentum': 0.5, 'solver': 'sgd'}",0.95,0.95,0.9,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.97,0.039999999999999994,12
36,1.3638198852539063,0.30054853962271055,0.0007464408874511719,3.4241058448685134e-05,0.3,0.6,sgd,"{'learning_rate_init': 0.3, 'momentum': 0.6, 'solver': 'sgd'}",0.9,0.95,0.8,0.95,0.95,1.0,1.0,0.95,0.9,1.0,0.9400000000000001,0.05830951894845299,88
37,1.0686619997024536,0.17085521748424812,0.0008159160614013671,0.00017515393936823424,0.3,0.7,sgd,"{'learning_rate_init': 0.3, 'momentum': 0.7, 'solver': 'sgd'}",0.95,1.0,0.85,0.95,1.0,1.0,1.0,1.0,0.95,1.0,0.97,0.04582575694955841,12
38,0.909229850769043,0.11114879275887854,0.0007338047027587891,4.721410291475892e-06,0.3,0.8,sgd,"{'learning_rate_init': 0.3, 'momentum': 0.8, 'solver': 'sgd'}",0.95,1.0,0.8,1.0,0.9,1.0,1.0,1.0,0.95,1.0,0.96,0.06244997998398398,40
39,0.5992789506912232,0.048729856464626665,0.0008060455322265625,0.0001291232763413059,0.3,0.9,sgd,"{'learning_rate_init': 0.3, 'momentum': 0.9, 'solver': 'sgd'}",0.9,1.0,0.8,0.95,1.0,1.0,1.0,1.0,0.95,1.0,0.96,0.06244997998398397,40
40,1.917347240447998,0.42308063282061464,0.0007852792739868164,0.00012817344007333984,0.4,0.001,sgd,"{'learning_rate_init': 0.4, 'momentum': 0.001, 'solver': 'sgd'}",1.0,1.0,0.8,0.95,0.95,1.0,1.0,1.0,0.95,0.9,0.9550000000000001,0.061032778078668505,59
41,1.8423032760620117,0.3681121579021155,0.0007426261901855469,1.72871720238464e-05,0.4,0.1,sgd,"{'learning_rate_init': 0.4, 'momentum': 0.1, 'solver': 'sgd'}",0.95,1.0,0.9,0.95,0.95,1.0,1.0,1.0,1.0,1.0,0.975,0.03354101966249685,3
42,1.6974639654159547,0.3907365687713579,0.0007699012756347656,0.00010899212445256741,0.4,0.2,sgd,"{'learning_rate_init': 0.4, 'momentum': 0.2, 'solver': 'sgd'}",0.95,1.0,0.8,0.95,1.0,1.0,1.0,0.95,0.9,1.0,0.9550000000000001,0.0610327780786685,59
43,1.648389220237732,0.3082408844784971,0.0007477521896362305,2.9054226471973607e-05,0.4,0.3,sgd,"{'learning_rate_init': 0.4, 'momentum': 0.3, 'solver': 'sgd'}",1.0,0.95,0.85,1.0,1.0,1.0,1.0,1.0,0.95,1.0,0.975,0.04609772228646445,3
44,1.281015157699585,0.23203552621497459,0.0007461309432983398,3.7455437366815744e-05,0.4,0.4,sgd,"{'learning_rate_init': 0.4, 'momentum': 0.4, 'solver': 'sgd'}",1.0,0.95,0.8,0.95,1.0,1.0,1.0,1.0,0.9,1.0,0.96,0.06244997998398397,40
45,1.2640362501144409,0.21458862949285293,0.0007450580596923828,1.2992390721074219e-05,0.4,0.5,sgd,"{'learning_rate_init': 0.4, 'momentum': 0.5, 'solver': 'sgd'}",0.95,1.0,0.9,0.95,0.95,1.0,1.0,0.95,0.9,1.0,0.96,0.03741657386773941,40
46,1.308942699432373,0.27504864835520265,0.000839686393737793,0.00019379076433492762,0.4,0.6,sgd,"{'learning_rate_init': 0.4, 'momentum': 0.6, 'solver': 'sgd'}",0.95,0.95,0.9,0.95,1.0,1.0,1.0,1.0,0.95,1.0,0.97,0.033166247903554005,12
47,1.0605336427688599,0.19745943513331302,0.0008409500122070312,0.00019477921843234067,0.4,0.7,sgd,"{'learning_rate_init': 0.4, 'momentum': 0.7, 'solver': 'sgd'}",0.9,0.95,1.0,0.95,0.95,1.0,1.0,1.0,0.95,0.95,0.9649999999999999,0.03201562118716425,37
48,0.813352370262146,0.1727674109803387,0.0007476329803466797,3.315695331423846e-05,0.4,0.8,sgd,"{'learning_rate_init': 0.4, 'momentum': 0.8, 'solver': 'sgd'}",0.95,1.0,0.9,0.95,1.0,1.0,1.0,0.95,0.9,0.95,0.96,0.03741657386773941,40
49,0.5189715623855591,0.08975922129753897,0.0007329940795898438,9.964185321391896e-06,0.4,0.9,sgd,"{'learning_rate_init': 0.4, 'momentum': 0.9, 'solver': 'sgd'}",0.95,1.0,0.8,0.95,1.0,1.0,1.0,0.95,0.9,1.0,0.9550000000000001,0.0610327780786685,59
50,1.771690583229065,0.2611613600241447,0.0007703781127929687,6.928804890942073e-05,0.5,0.001,sgd,"{'learning_rate_init': 0.5, 'momentum': 0.001, 'solver': 'sgd'}",0.9,0.95,0.9,0.95,1.0,1.0,1.0,1.0,0.95,1.0,0.9650000000000001,0.03905124837953327,24
51,1.5661502122879027,0.17399395917029423,0.0007365942001342773,1.9974653918277395e-05,0.5,0.1,sgd,"{'learning_rate_init': 0.5, 'momentum': 0.1, 'solver': 'sgd'}",0.95,1.0,0.9,0.95,1.0,1.0,1.0,0.95,0.95,1.0,0.97,0.033166247903554005,12
52,1.4203763961791993,0.23094276720974008,0.0007283449172973633,7.57364677934301e-06,0.5,0.2,sgd,"{'learning_rate_init': 0.5, 'momentum': 0.2, 'solver': 'sgd'}",1.0,1.0,0.8,0.95,0.95,1.0,1.0,0.95,0.9,1.0,0.9550000000000001,0.0610327780786685,59
53,1.342363429069519,0.15973910043294104,0.0007285356521606445,5.990002873048612e-06,0.5,0.3,sgd,"{'learning_rate_init': 0.5, 'momentum': 0.3, 'solver': 'sgd'}",0.95,0.95,0.9,0.95,1.0,1.0,1.0,1.0,0.95,1.0,0.97,0.033166247903554005,12
54,1.3225679874420166,0.18456537262004832,0.0007575035095214843,8.27716926407578e-05,0.5,0.4,sgd,"{'learning_rate_init': 0.5, 'momentum': 0.4, 'solver': 'sgd'}",0.95,0.95,0.9,1.0,0.95,1.0,1.0,0.95,0.95,1.0,0.9649999999999999,0.03201562118716425,37
55,1.057187294960022,0.16056825151305842,0.0007318973541259766,1.1699430707520399e-05,0.5,0.5,sgd,"{'learning_rate_init': 0.5, 'momentum': 0.5, 'solver': 'sgd'}",1.0,1.0,0.8,0.95,0.95,1.0,1.0,1.0,0.95,1.0,0.9650000000000001,0.05937171043518958,24
